accountsservice 0.6.54+2+g204a4ab-1
reiserfsprogs 3.6.27-2
rofi 1.5.1-1
rsync 3.1.3-1
s-nail 14.9.11-1
scrot 0.8.18-1
sed 4.5-1
shadow 4.6-1
skippy-xd 2016.10.20.r0.g72d1ddf-1
smplayer 18.10.0-1
smplayer-skins 1:15.2.0-2
smplayer-themes 1:18.6.0-1
spectre-meltdown-checker 0.37-1
sudo 1.8.25.p1-1
sylpheed 3.7.0-2
sysfsutils 2.1.0-10
systemd 239.6-1
systemd-sysvcompat 239.6-1
tar 1.30-2
terminus-font 4.46-1.1
termite 14-1
termite-terminfo 14-1
testdisk 7.0-5
texinfo 6.5-2
thunar-archive-plugin-gtk3 0.4.0-1
thunar-gtk3 1.8.2-4
thunar-media-tags-plugin 0.3.0-1
thunar-volman-gtk3 0.9.0-1
timeshift 18.9-1
tint2 16.6.1-1
tlp 1.1-1.0
traceroute 2.1.0-2
ttf-dejavu 2.37-2
ttf-font-awesome 5.5.0-1
ttf-font-logos 0.10-4
ttf-icomoon-icons 1.0-1
ttf-material-icons r124.224895a86-1
ttf-polybar-icons 1.0-1
ttf-roboto 2.138-1
tumbler 0.2.3-1
udiskie 1.7.5-2
unace 2.5-10
unarchiver 1.10.1-5
unarj 2.63a-5
unrar 1:5.6.8-1
unzip 6.0-13
usbutils 010-1
util-linux 2.33-2
vi 1:070224-3
viewnior 1.7-1
wget 1.19.5-1
which 2.21-3
whois 5.3.2-2
wireless_tools 30.pre9-2
wmctrl 1.07-5
wpa_supplicant 1:2.6-12
xcape 1.2-3
xcb-util-cursor 0.1.3-1
xcmenu 20140816.23-1
xcursor-breeze 5.11.5-1
xdg-user-dirs 0.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.3-3
xdotool 3.20160805.1-1
xed 1.8.3-1
xf86-input-libinput 0.28.1-1
xfburn 0.5.5-1
xfce4-settings-gtk3 4.13.5-5
xfsprogs 4.18.0-1
xorg-server 1.20.3-1
xorg-server-common 1.20.3-1
xorg-xbacklight 1.2.2-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-2
xorg-xkill 1.0.5-1
xorg-xprop 1.2.3-1
xterm 337-1
yajl 2.1.0-2
yaourt 1.9-2
yay 8.1173.0-2
zenity 3.30.0-1
zsh 5.6.2-1
